==========================================
  监控指标测试服务已启动
  端口: 8088
==========================================

可用接口:
  健康检查:    GET http://localhost:8088/api/test/health
  RabbitMQ指标: GET http://localhost:8088/api/test/rabbitmq
  主机指标:    GET http://localhost:8088/api/test/host
  日志指标:    GET http://localhost:8088/api/test/logs

按 Ctrl+C 停止服务

==========================================
  监控指标测试服务已启动
  端口: 8088
==========================================

可用接口:
  健康检查:    GET http://localhost:8088/api/test/health
  RabbitMQ指标: GET http://localhost:8088/api/test/rabbitmq
  主机指标:    GET http://localhost:8088/api/test/host
  日志指标:    GET http://localhost:8088/api/test/logs

按 Ctrl+C 停止服务

[GIN] 2026/07/10 - 14:29:40 | 200 |     414.875µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:40 | 200 |        27.5µs |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 14:29:40 | 200 |      60.667µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:40 | 200 |     351.583µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |          72µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:40 | 200 |      54.375µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |      41.625µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |      47.416µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |      29.041µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |      23.625µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |      31.667µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |     109.584µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:40 | 200 |      52.333µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:40 | 200 |      94.958µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:40 | 200 |      322.25µs |       127.0.0.1 | GET      "/api/test/logs"
